City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,krasnoselkup,65.7,82.4667,-28.64,100,100,3.54,RU,1675817567
116,burnsville,44.7677,-93.2777,-0.55,79,0,2.06,US,1675817567
117,turkeve,47.1,20.75,-1.08,76,81,3.14,HU,1675817568
118,arkhangelskoye,55.8549,35.3287,-13.08,96,66,3.09,RU,1675817568
119,coxim,-18.5067,-54.76,21.62,92,100,1.29,BR,1675817569
120,batagay,67.6333,134.6333,-48.52,98,53,1.06,RU,1675817569
121,albany,42.6001,-73.9662,1.36,77,100,0.45,US,1675817569
122,rocha,-34.4833,-54.3333,20.15,84,6,3.21,UY,1675817570
123,qaanaaq,77.484,-69.3632,-31.57,67,7,2.82,GL,1675817570
124,leningradskiy,69.3833,178.4167,-31.1,96,100,2.22,RU,1675817570
125,almaznyy,48.0448,40.045,-10.08,87,21,7.82,RU,1675817571
126,alegrete,-29.7831,-55.7919,26.54,26,0,4.58,BR,1675817571
127,port moresby,-9.4431,147.1797,23.68,100,100,7.72,PG,1675817571
128,tuktoyaktuk,69.4541,-133.0374,-32.0,75,100,1.54,CA,1675817572
129,ust-kan,50.9276,84.761,-18.07,97,53,1.75,RU,1675817572
130,cascais,38.6979,-9.4215,10.59,69,6,5.36,PT,1675817572
131,santo andre,-23.6639,-46.5383,21.03,92,20,1.54,BR,1675817573
132,carnarvon,-24.8667,113.6333,27.43,56,1,7.64,AU,1675817573
133,belle glade,26.6845,-80.6676,22.23,66,0,3.87,US,1675817573
134,cururupu,-1.8283,-44.8683,23.5,95,100,0.99,BR,1675817574
135,san quintin,30.4833,-115.95,16.08,48,0,2.82,MX,1675817574
136,umm kaddadah,13.6017,26.6876,15.29,28,11,8.32,SD,1675817574
137,tiksi,71.6872,128.8694,-35.16,99,100,2.38,RU,1675817575
138,smithers,54.7804,-127.1743,-3.82,100,75,2.06,CA,1675817575
139,viedma,-40.8135,-62.9967,19.38,69,11,4.41,AR,1675817575
140,beloha,-25.1667,45.05,23.21,80,100,3.76,MG,1675817576
141,burns lake,54.2331,-125.7533,-2.32,96,98,1.01,CA,1675817576
142,cherdyn,60.403,56.4787,-15.09,96,100,3.17,RU,1675817576
143,buala,-8.145,159.5921,27.4,86,82,3.91,SB,1675817577
144,ponta delgada,37.7333,-25.6667,13.4,82,40,6.69,PT,1675817577
145,bilibino,68.0546,166.4372,-37.0,98,100,0.74,RU,1675817577
146,ancud,-41.8697,-73.8203,14.57,93,0,1.74,CL,1675817577
147,torbay,47.6666,-52.7314,-4.23,84,75,11.32,CA,1675817578
148,kapaa,22.0752,-159.319,26.99,89,100,6.69,US,1675817578
149,port augusta,-32.5,137.7667,33.17,15,0,2.15,AU,1675817578
150,portland,45.5234,-122.6762,10.53,91,100,1.79,US,1675817134
151,castro,-24.7911,-50.0119,16.99,92,26,2.48,BR,1675817290
152,qena,26.1615,32.7183,9.94,49,100,2.93,EG,1675817579
153,sioux lookout,50.1001,-91.917,-6.96,73,75,2.06,CA,1675817579
154,mar del plata,-38.0023,-57.5575,23.38,91,75,8.94,AR,1675817531
155,hermanus,-34.4187,19.2345,19.89,82,0,5.35,ZA,1675817579
156,xuanzhou,30.9525,118.7553,7.63,74,100,5.57,CN,1675817580
157,utmanzai,34.188,71.7629,9.51,31,100,1.65,PK,1675817580
158,ponta do sol,32.6667,-17.1,15.95,66,34,2.93,PT,1675817580
159,tasiilaq,65.6145,-37.6368,-16.91,35,0,16.15,GL,1675817580
160,nome,64.5011,-165.4064,-18.96,78,0,0.0,US,1675817497
161,lebork,54.5392,17.7501,0.82,90,100,2.62,PL,1675817540
162,el tocuyo,9.7873,-69.7937,23.04,75,99,0.52,VE,1675817581
163,cidreira,-30.1811,-50.2056,24.31,79,26,5.84,BR,1675817496
164,mapiripan,2.8892,-72.1256,26.15,57,60,1.93,CO,1675817582
165,bougouni,11.417,-7.479,26.27,17,73,1.29,ML,1675817584
166,vigeland,58.0844,7.305,6.64,91,100,3.09,NO,1675817588
167,caucaia,-3.7361,-38.6531,27.24,71,40,2.57,BR,1675817594
168,nanortalik,60.1432,-45.2371,-15.3,72,8,8.65,GL,1675817597
169,jibuti,11.5,42.5,19.64,82,13,3.58,DJ,1675817598
170,trelew,-43.249,-65.3051,19.29,49,5,4.37,AR,1675817601
171,syasstroy,60.1367,32.5691,-3.87,89,100,5.36,RU,1675817603
172,chumikan,54.7183,135.315,-28.69,82,70,5.33,RU,1675817603
173,springdale,36.1867,-94.1288,7.24,95,100,3.6,US,1675817606
174,salalah,17.0151,54.0924,20.05,49,0,2.06,OM,1675817596
175,albion,42.2431,-84.753,2.23,87,100,5.14,US,1675817611
176,zlobin,45.2924,14.6541,-3.39,48,0,2.06,HR,1675817613
177,lavrentiya,65.5833,-171.0,-25.47,91,97,1.21,RU,1675817614
178,los llanos de aridane,28.6585,-17.9182,12.86,79,0,2.57,ES,1675817614
179,ucluelet,48.9329,-125.5528,7.17,78,28,8.68,CA,1675817615
180,arraial do cabo,-22.9661,-42.0278,24.16,90,100,1.79,BR,1675817619
181,amahai,-3.3333,128.9167,28.99,66,93,0.61,ID,1675817622
182,santa fe,-31.6333,-60.7,31.66,46,0,0.89,AR,1675817350
183,guilin,25.2819,110.2864,10.06,93,100,1.85,CN,1675817622
184,lodja,-3.4833,23.4333,21.3,87,100,0.67,CD,1675817622
185,cartagena,10.3997,-75.5144,26.79,78,0,4.63,CO,1675817032
186,tessalit,20.1986,1.0114,22.12,15,66,3.33,ML,1675817623
187,sao joao del rei,-21.1356,-44.2617,18.75,95,100,0.89,BR,1675817621
188,englehart,47.8169,-79.8664,1.31,86,100,6.17,CA,1675817627
189,olafsvik,64.8945,-23.7142,-2.35,57,100,12.84,IS,1675817628
190,shirak,40.8404,43.9158,-5.82,63,100,6.17,AM,1675817628
191,fort payne,34.4442,-85.7197,15.12,61,75,0.0,US,1675817629
192,iranshahr,27.2025,60.6848,14.19,41,0,2.06,IR,1675817629
193,krotovka,53.2858,51.1686,-21.48,100,63,2.08,RU,1675817629
194,coihaique,-45.5752,-72.0662,17.97,63,67,1.03,CL,1675817428
195,chokurdakh,70.6333,147.9167,-39.12,100,100,1.73,RU,1675817630
196,esperance,-33.8667,121.9,20.99,67,98,4.85,AU,1675817630
197,lompoc,34.6391,-120.4579,18.16,74,40,4.63,US,1675817519
198,saint-philippe,-21.3585,55.7679,24.77,83,94,6.23,RE,1675817630
199,port hardy,50.6996,-127.4199,7.1,87,75,1.54,CA,1675817630
200,susurluk,39.9136,28.1578,0.88,98,100,3.62,TR,1675817631
201,coahuayana,18.7333,-103.6833,23.38,83,13,1.38,MX,1675817631
202,touros,-5.1989,-35.4608,26.26,71,100,5.59,BR,1675817631
203,cabo san lucas,22.8909,-109.9124,23.61,59,40,3.09,MX,1675816958
204,sao raimundo nonato,-9.0153,-42.6994,23.13,70,100,1.17,BR,1675817591
205,talcahuano,-36.7167,-73.1167,20.82,46,0,7.2,CL,1675817632
206,kijang,35.2442,129.2139,4.85,58,5,1.5,KR,1675817507
207,solnechnyy,50.7214,136.6319,-21.13,84,68,3.5,RU,1675817632
208,valparaiso,-33.0393,-71.6273,16.8,88,20,3.09,CL,1675817429
209,aksaray,38.3726,34.0254,-10.15,92,100,2.2,TR,1675817632
210,gimli,50.6336,-96.9907,-3.99,74,6,6.17,CA,1675817633
211,nacogdoches,31.6002,-94.6335,19.8,86,100,3.09,US,1675817441
212,idenao,4.2475,9.0047,25.52,85,58,1.17,CM,1675817633
213,dingle,10.9995,122.6711,26.24,79,100,5.33,PH,1675817633
214,pimentel,-6.8367,-79.9342,24.16,78,40,8.75,PE,1675817634
215,vardo,70.3705,31.1107,-1.01,80,9,9.26,NO,1675817634
216,new norfolk,-42.7826,147.0587,16.51,36,4,0.94,AU,1675817634
217,richards bay,-28.783,32.0377,22.89,96,4,1.43,ZA,1675817635
218,gat,31.61,34.7642,11.16,100,60,8.69,IL,1675817341
219,melfort,52.8667,-104.6177,-1.93,74,13,4.12,CA,1675817635
220,adzope,6.1069,-3.8619,24.11,93,99,0.91,CI,1675817635
221,bintulu,3.1667,113.0333,25.23,88,20,1.03,MY,1675817636
222,kulhudhuffushi,6.6221,73.07,26.67,70,57,2.86,MV,1675817636
223,kerrville,30.0474,-99.1403,14.89,86,100,6.69,US,1675817474
224,cartaya,37.2811,-7.1507,9.6,71,100,5.99,ES,1675817636
225,ormara,25.2088,64.6357,20.8,67,4,2.53,PK,1675817636
226,kofele,7.0667,38.7833,7.97,36,0,3.22,ET,1675817637
227,aklavik,68.2191,-135.0107,-28.0,69,75,2.06,CA,1675817637
228,madimba,-10.4,40.3333,26.62,89,75,5.14,TZ,1675817637
229,varkaus,62.3153,27.873,0.17,96,100,2.82,FI,1675817638
230,tongliao,43.6125,122.2653,-7.5,43,0,3.85,CN,1675817638
231,severo-kurilsk,50.6789,156.125,-4.1,54,12,4.38,RU,1675817638
232,pevek,69.7008,170.3133,-29.74,92,100,1.3,RU,1675817639
233,orange cove,36.6244,-119.3137,14.78,64,0,0.0,US,1675817639
234,quepos,9.4236,-84.1652,25.93,77,100,0.71,CR,1675817639
235,paita,-5.0892,-81.1144,23.97,84,57,4.17,PE,1675817639
236,san fernando,15.0286,120.6898,28.85,65,97,4.34,PH,1675817640
237,tsalenjikha,42.6044,42.0682,1.6,90,100,0.57,GE,1675817640
238,hualmay,-11.0964,-77.6139,23.04,82,25,3.21,PE,1675817640
239,auch,43.65,0.5833,6.36,93,43,1.34,FR,1675817641
240,port-gentil,-0.7193,8.7815,26.95,80,76,3.88,GA,1675817641
241,airai,-8.9266,125.4092,20.69,78,78,1.32,TL,1675817642
242,faanui,-16.4833,-151.75,27.28,73,29,5.36,PF,1675817642
243,merauke,-8.4667,140.3333,28.3,76,59,7.01,ID,1675817643
244,kutum,14.2,24.6667,12.7,34,9,4.72,SD,1675817622
245,warmbad,-28.45,18.7333,22.25,49,94,3.81,NA,1675817644
246,lodi,38.1302,-121.2725,15.25,58,100,1.22,US,1675817646
247,souillac,-20.5167,57.5167,26.21,83,75,5.14,MU,1675817615
248,jacqueville,5.2052,-4.4146,26.22,87,78,3.62,CI,1675817647
249,columbus,39.9612,-82.9988,12.11,86,100,9.26,US,1675817375
250,pozo colorado,-23.4923,-58.7972,26.61,69,70,2.26,PY,1675817649
251,seoul,37.5683,126.9778,1.69,83,0,1.03,KR,1675817366
252,manzhouli,49.6,117.4333,-20.29,98,37,3.0,CN,1675817651
253,xichang,27.8964,102.2634,6.94,70,1,0.52,CN,1675817652
254,lugovskoy,56.9585,64.529,-24.12,100,100,1.31,RU,1675817652
255,oranjestad,12.524,-70.027,26.06,77,20,8.23,AW,1675817653
256,sur,22.5667,59.5289,22.48,56,32,3.86,OM,1675817653
257,onega,63.9061,38.1404,-0.25,98,100,5.26,RU,1675817656
258,ulladulla,-35.35,150.4667,19.37,85,100,2.07,AU,1675817657
259,katsuura,35.1333,140.3,10.82,71,97,7.68,JP,1675817658
260,roros,62.5747,11.3842,-9.09,92,100,2.06,NO,1675817658
261,dhidhdhoo,6.8833,73.1,26.69,71,43,2.82,MV,1675817658
262,muromtsevo,56.3724,75.2418,-22.41,100,80,1.76,RU,1675817659
263,bantry,51.6833,-9.45,8.21,89,94,2.66,IE,1675817659
264,sungaipenuh,-2.0833,101.3833,20.51,55,100,0.44,ID,1675817660
265,nenjiang,49.1833,125.2167,-22.46,96,100,0.44,CN,1675817660
266,bathsheba,13.2167,-59.5167,25.34,83,40,7.2,BB,1675817662
267,poum,-20.2333,164.0167,26.66,84,100,5.25,NC,1675817663
268,kilindoni,-7.9139,39.6668,27.38,78,100,5.33,TZ,1675817665
269,paamiut,61.994,-49.6678,-19.11,87,52,5.32,GL,1675817669
270,karibib,-21.9333,15.8333,18.96,75,63,1.07,NA,1675817670
271,leh,34.1667,77.5833,-20.61,63,10,1.55,IN,1675817670
272,the valley,18.217,-63.0578,25.61,74,0,8.78,AI,1675817672
273,eureka,40.8021,-124.1637,14.26,93,96,2.0,US,1675817570
274,elko,41.0002,-115.5012,1.01,75,100,0.89,US,1675817313
275,humberto de campos,-2.5983,-43.4611,23.63,93,100,1.56,BR,1675817674
276,jacareacanga,-6.2222,-57.7528,22.91,98,97,0.26,BR,1675817675
277,agirish,61.9247,63.0231,-18.31,96,100,3.41,RU,1675817677
278,truro,50.2653,-5.0544,3.6,87,1,3.6,GB,1675817678
279,estancia,-11.2683,-37.4383,23.07,80,100,1.64,BR,1675817511
280,pontes e lacerda,-15.2261,-59.3353,22.58,93,85,0.44,BR,1675817511
281,saint-pierre,-21.3393,55.4781,24.82,78,72,2.06,RE,1675817683
282,corrales,35.2378,-106.6067,3.87,83,100,4.12,US,1675817580
283,houston,29.7633,-95.3633,22.29,84,100,5.66,US,1675817233
284,adrar,20.5022,-10.0711,15.3,23,100,5.04,MR,1675817686
285,rafai,4.95,23.9167,20.11,26,12,1.39,CF,1675817687
286,lukovetskiy,64.2956,41.9211,0.89,98,100,4.26,RU,1675817688
287,ilulissat,69.2167,-51.1,-23.99,77,100,3.6,GL,1675817688
288,cerkezkoy,41.285,28.0003,-2.9,74,40,6.17,TR,1675817562
289,turayf,31.6725,38.6637,4.14,87,75,9.26,SA,1675817689
290,east london,-33.0153,27.9116,21.66,84,100,5.62,ZA,1675817667
291,inhambane,-23.865,35.3833,25.4,88,12,3.25,MZ,1675817689
292,sheridan,44.8333,-106.9173,4.21,65,0,0.45,US,1675817690
293,francisco beltrao,-26.0811,-53.055,20.23,56,6,0.83,BR,1675817690
294,marsh harbour,26.5412,-77.0636,21.79,62,0,8.15,BS,1675817690
295,saint george,37.1041,-113.5841,12.33,36,0,4.63,US,1675817512
296,sakakah,29.9697,40.2064,9.76,63,6,5.87,SA,1675817555
297,astoria,46.1879,-123.8313,9.36,76,4,3.13,US,1675817580
298,iqaluit,63.7506,-68.5145,-33.15,75,75,0.0,CA,1675817691
299,victoria,22.2855,114.1577,18.47,87,97,4.02,HK,1675817624
300,santa maria,-29.6842,-53.8069,23.61,69,20,1.54,BR,1675817507
301,ballina,-28.8667,153.5667,27.23,71,100,3.81,AU,1675817691
302,biak,-0.9131,122.8766,25.72,80,100,2.25,ID,1675817691
303,caconda,-13.7333,15.0667,15.01,61,100,1.83,AO,1675817692
304,prado,-17.3411,-39.2208,25.43,81,2,4.7,BR,1675817692
305,zelenoborsk,61.4669,64.0333,-24.17,100,100,2.66,RU,1675817692
306,westport,41.1415,-73.3579,4.75,78,40,3.09,US,1675817693
307,dunedin,-45.8742,170.5036,15.04,53,55,7.24,NZ,1675817657
308,zhaotong,27.3167,103.7167,3.9,80,90,1.46,CN,1675817693
309,hasaki,35.7333,140.8333,10.22,70,100,10.33,JP,1675817693
310,bud,39.447,-86.1758,10.81,72,100,2.82,US,1675817694
311,tautira,-17.7333,-149.15,26.65,62,4,2.08,PF,1675817694
312,tiznit,29.5833,-9.5,7.65,91,0,0.23,MA,1675817694
313,cangzhou,38.3167,116.8667,0.61,57,80,2.89,CN,1675817695
314,chapais,49.7834,-74.8492,-6.12,95,100,4.72,CA,1675817695
315,puerto ayacucho,5.6639,-67.6236,28.04,59,94,1.21,VE,1675817695
316,sabya,17.1495,42.6254,24.79,73,1,2.65,SA,1675817696
317,coquimbo,-29.9533,-71.3436,17.85,88,100,2.06,CL,1675817696
318,kruisfontein,-34.0033,24.7314,19.38,82,100,2.1,ZA,1675817696
319,bandar-e lengeh,26.5579,54.8807,19.06,72,94,2.06,IR,1675817697
320,bandarbeyla,9.4942,50.8122,25.08,74,98,7.11,SO,1675817697
321,prince rupert,54.3161,-130.3201,4.05,87,100,11.32,CA,1675817614
322,kavaratti,10.5669,72.642,26.47,70,100,5.02,IN,1675817697
323,teya,60.3778,92.6267,-12.65,97,100,1.32,RU,1675817698
324,pontal do parana,-25.6533,-48.5128,23.71,86,0,1.95,BR,1675817565
325,boyabat,41.4689,34.7667,-5.81,87,100,2.6,TR,1675817698
326,vestmannaeyjar,63.4427,-20.2734,0.26,62,100,15.72,IS,1675817698
327,tral,33.9333,75.1,-1.25,63,31,2.31,IN,1675817699
328,pleshanovo,52.8333,53.4833,-21.44,100,93,2.28,RU,1675817699
329,palimbang,6.2106,124.1894,27.76,73,100,1.75,PH,1675817699
330,kankan,10.3854,-9.3057,26.7,23,20,2.07,GN,1675817700
331,codrington,-38.2667,141.9667,18.99,58,75,6.82,AU,1675817700
332,minab,27.1467,57.0801,19.52,59,47,0.46,IR,1675817701
333,black river,18.0264,-77.8487,24.13,78,0,2.28,JM,1675817702
334,clonakilty,51.6231,-8.8706,4.56,83,66,3.65,IE,1675817703
335,marzuq,14.4,46.4667,16.48,56,5,2.11,YE,1675817704
336,kyra,49.5776,111.9753,-19.81,90,7,1.52,RU,1675817706
337,ostrovnoy,68.0531,39.5131,-0.13,76,5,11.07,RU,1675817708
338,ahipara,-35.1667,173.1667,22.44,53,36,3.18,NZ,1675817710
